Turks and Caicos Islands,21958.80232
Chad,2191.741795
East Asia & Pacific (IDA & IBRD countries),13111.33771
Europe & Central Asia (IDA & IBRD countries),19830.43181
Togo,1566.994218
Thailand,16293.6098
Tajikistan,2851.709486
Turkmenistan,16011.55121
Latin America & the Caribbean (IDA & IBRD countries),15579.16768
Timor-Leste,8177.850036
Middle East & North Africa (IDA & IBRD countries),12567.79655
Tonga,5849.717335
South Asia (IDA & IBRD),5671.535676
Sub-Saharan Africa (IDA & IBRD countries),3804.833742
Trinidad and Tobago,33598.7583
Tunisia,11598.86039
Turkey,25625.57463
Tuvalu,3619.410338
Tanzania,2791.023424
Uganda,1868.547153
Ukraine,7972.435612
Upper middle income,16098.56487
Uruguay,21300.97607
United States,56803.47243
Uzbekistan,6022.546006
St. Vincent and the Grenadines,11184.09054
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,5989.75769
Vanuatu,2925.443874
World,15802.76759
Samoa,5945.265127
Kosovo,9784.852759
"Yemen, Rep.",3320.110156
South Africa,13191.42963
Zambia,3927.761816
Zimbabwe,2679.580317
